leaguePosition,team,player,ban1,ban2,ban3,ban4,ban5
lcsADC,100 Thieves,FBI,Xin Zhao,Gwen,Akali,Gnar,Viego
lcsADC,100 Thieves,FBI,Viego,Nocturne,Rumble,Olaf,Jayce
lcsADC,100 Thieves,FBI,Xin Zhao,Akali,Nocturne,Diana,Kennen
lcsADC,100 Thieves,FBI,Lee Sin,Nocturne,Viego,Thresh,Braum
lcsADC,100 Thieves,FBI,Xin Zhao,Lee Sin,Nocturne,Nautilus,LeBlanc
lcsADC,100 Thieves,FBI,Xin Zhao,Nocturne,Viego,Leona,Sett
lcsADC,100 Thieves,FBI,Nocturne,Sett,Akali,Gnar,Lee Sin
lcsADC,100 Thieves,FBI,Xin Zhao,Nocturne,Kalista,Rumble,Gnar
lcsADC,100 Thieves,FBI,Irelia,Renekton,Gwen,Nocturne,LeBlanc
lcsADC,100 Thieves,FBI,Xin Zhao,Viego,Irelia,Nautilus,Aphelios
lcsADC,100 Thieves,FBI,Ziggs,Irelia,Lucian,LeBlanc,Akali
lcsADC,100 Thieves,FBI,Ziggs,Irelia,Xin Zhao,Braum,Tristana
lcsADC,100 Thieves,FBI,Ziggs,Irelia,Kalista,Tristana,Jhin
lcsADC,100 Thieves,FBI,Ziggs,Thresh,Irelia,Camille,Braum
lcsADC,100 Thieves,FBI,Jayce,Tahm Kench,Syndra,Orianna,Lucian
lcsADC,100 Thieves,FBI,Diana,Tahm Kench,Kalista,Volibear,Zac
lcsSUP,100 Thieves,huhi,Nocturne,Lee Sin,Varus,Kalista,Irelia
lcsSUP,100 Thieves,huhi,Udyr,,Gwen,Irelia,Nocturne
lcsSUP,100 Thieves,huhi,Kalista,Lee Sin,Renekton,Jayce,Nocturne
lcsSUP,100 Thieves,huhi,Viego,Tristana,Gwen,Thresh,Tahm Kench
lcsSUP,100 Thieves,huhi,Varus,Viego,Renekton,Sett,Gnar
lcsSUP,100 Thieves,huhi,Renekton,Lee Sin,Akali,Lucian,Tristana
lcsSUP,100 Thieves,huhi,Lucian,Gwen,Nocturne,Diana,Xin Zhao
lcsSUP,100 Thieves,huhi,Viego,Gwen,Sett,Wukong,Olaf
lcsSUP,100 Thieves,huhi,Lucian,Gangplank,Lulu,Thresh,Varus
lcsSUP,100 Thieves,huhi,Viego,Xin Zhao,Lulu,Thresh,Tristana
lcsSUP,100 Thieves,huhi,Xin Zhao,Gwen,Akali,Gnar,Viego
lcsSUP,100 Thieves,huhi,Viego,Nocturne,Rumble,Olaf,Jayce
lcsSUP,100 Thieves,huhi,Xin Zhao,Akali,Nocturne,Diana,Kennen
lcsSUP,100 Thieves,huhi,Lee Sin,Nocturne,Viego,Thresh,Braum
lcsSUP,100 Thieves,huhi,Xin Zhao,Lee Sin,Nocturne,Nautilus,LeBlanc
lcsSUP,100 Thieves,huhi,Xin Zhao,Nocturne,Viego,Leona,Sett
lcsSUP,100 Thieves,huhi,Nocturne,Sett,Akali,Gnar,Lee Sin
lcsSUP,100 Thieves,huhi,Xin Zhao,Nocturne,Kalista,Rumble,Gnar
lcsSUP,100 Thieves,huhi,Irelia,Renekton,Gwen,Nocturne,LeBlanc
lcsSUP,100 Thieves,huhi,Xin Zhao,Viego,Irelia,Nautilus,Aphelios
lcsSUP,100 Thieves,huhi,Ziggs,Irelia,Lucian,LeBlanc,Akali
lcsSUP,100 Thieves,huhi,Ziggs,Irelia,Xin Zhao,Braum,Tristana
lcsSUP,100 Thieves,huhi,Ziggs,Irelia,Kalista,Tristana,Jhin
lcsSUP,100 Thieves,huhi,Ziggs,Thresh,Irelia,Camille,Braum
lcsSUP,100 Thieves,huhi,Jayce,Tahm Kench,Syndra,Orianna,Lucian
lcsSUP,100 Thieves,huhi,Diana,Tahm Kench,Kalista,Volibear,Zac
lcsJG,100 Thieves,Kenvi,Renekton,Diana,LeBlanc,Ryze,Ekko
lcsADC,100 Thieves,Luger,Renekton,Diana,LeBlanc,Ryze,Ekko
lcsSUP,100 Thieves,Poome,Renekton,Diana,LeBlanc,Ryze,Ekko
lcsMID,100 Thieves,ry0ma,Renekton,Diana,LeBlanc,Ryze,Ekko
lcsTOP,100 Thieves,Ssumday,Nocturne,Lee Sin,Varus,Kalista,Irelia
lcsTOP,100 Thieves,Ssumday,Udyr,,Gwen,Irelia,Nocturne
lcsTOP,100 Thieves,Ssumday,Kalista,Lee Sin,Renekton,Jayce,Nocturne
lcsTOP,100 Thieves,Ssumday,Viego,Tristana,Gwen,Thresh,Tahm Kench
lcsTOP,100 Thieves,Ssumday,Varus,Viego,Renekton,Sett,Gnar
lcsTOP,100 Thieves,Ssumday,Renekton,Lee Sin,Akali,Lucian,Tristana
lcsTOP,100 Thieves,Ssumday,Lucian,Gwen,Nocturne,Diana,Xin Zhao
lcsTOP,100 Thieves,Ssumday,Viego,Gwen,Sett,Wukong,Olaf
lcsTOP,100 Thieves,Ssumday,Lucian,Gangplank,Lulu,Thresh,Varus
lcsTOP,100 Thieves,Ssumday,Viego,Xin Zhao,Lulu,Thresh,Tristana
lcsTOP,100 Thieves,Ssumday,Xin Zhao,Gwen,Akali,Gnar,Viego
lcsTOP,100 Thieves,Ssumday,Viego,Nocturne,Rumble,Olaf,Jayce
lcsTOP,100 Thieves,Ssumday,Xin Zhao,Akali,Nocturne,Diana,Kennen
lcsTOP,100 Thieves,Ssumday,Lee Sin,Nocturne,Viego,Thresh,Braum
lcsTOP,100 Thieves,Ssumday,Xin Zhao,Lee Sin,Nocturne,Nautilus,LeBlanc
lcsTOP,100 Thieves,Ssumday,Xin Zhao,Nocturne,Viego,Leona,Sett
lcsTOP,100 Thieves,Ssumday,Nocturne,Sett,Akali,Gnar,Lee Sin
lcsTOP,100 Thieves,Ssumday,Xin Zhao,Nocturne,Kalista,Rumble,Gnar
lcsTOP,100 Thieves,Ssumday,Irelia,Renekton,Gwen,Nocturne,LeBlanc
lcsTOP,100 Thieves,Ssumday,Xin Zhao,Viego,Irelia,Nautilus,Aphelios
lcsTOP,100 Thieves,Ssumday,Ziggs,Irelia,Lucian,LeBlanc,Akali
lcsTOP,100 Thieves,Ssumday,Ziggs,Irelia,Xin Zhao,Braum,Tristana
lcsTOP,100 Thieves,Ssumday,Ziggs,Irelia,Kalista,Tristana,Jhin
lcsTOP,100 Thieves,Ssumday,Ziggs,Thresh,Irelia,Camille,Braum
lcsTOP,100 Thieves,Ssumday,Jayce,Tahm Kench,Syndra,Orianna,Lucian
lcsTOP,100 Thieves,Ssumday,Diana,Tahm Kench,Kalista,Volibear,Zac
lcsTOP,100 Thieves,Tenacity,Renekton,Diana,LeBlanc,Ryze,Ekko
lckJG,Afreeca Freecs,Dread,Gnar,Lucian,Nocturne,Gragas,Gwen
lckJG,Afreeca Freecs,Dread,Gnar,Lucian,Nocturne,Gragas,Akali
lckJG,Afreeca Freecs,Dread,Lucian,Nocturne,Akali,Ezreal,Kalista
lckJG,Afreeca Freecs,Dread,Lulu,Nocturne,Lee Sin,Kalista,Kai'Sa
lckJG,Afreeca Freecs,Dread,Lulu,Nocturne,Akali,Thresh,Irelia
lckJG,Afreeca Freecs,Dread,Lucian,Udyr,Renekton,Nocturne,Sylas
lckJG,Afreeca Freecs,Dread,Ezreal,Akali,Lee Sin,Nocturne,Viego
lckJG,Afreeca Freecs,Dread,Sylas,Akali,Lee Sin,Braum,Viego
lckJG,Afreeca Freecs,Dread,Sylas,Akali,Lee Sin,Leona,Viego
lckJG,Afreeca Freecs,Dread,Akali,Lucian,Rumble,Nautilus,Sylas
lckJG,Afreeca Freecs,Dread,Rumble,Lucian,Lee Sin,Olaf,Sylas
lckJG,Afreeca Freecs,Dread,Akali,Sylas,Lee Sin,Azir,Udyr
lckJG,Afreeca Freecs,Dread,Azir,Akali,Nocturne,Gragas,Sett
lckJG,Afreeca Freecs,Dread,Azir,Akali,Nocturne,Gragas,Taric
lckJG,Afreeca Freecs,Dread,Akali,Lucian,Renekton,Azir,LeBlanc
lckJG,Afreeca Freecs,Dread,Akali,Lucian,Leona,Gnar,Nocturne
lckJG,Afreeca Freecs,Dread,Lucian,Akali,Leona,Azir,Orianna
lckJG,Afreeca Freecs,Dread,Lee Sin,Nocturne,Akali,Azir,Lucian
lckJG,Afreeca Freecs,Dread,Ezreal,Akali,Lucian,Leona,Varus
lckJG,Afreeca Freecs,Dread,Ezreal,Lee Sin,Akali,Gwen,Azir
lckJG,Afreeca Freecs,Dread,Thresh,Akali,LeBlanc,Gnar,Leona
lckJG,Afreeca Freecs,Dread,Thresh,Akali,LeBlanc,Gnar,Leona
lckJG,Afreeca Freecs,Dread,Gnar,Lucian,Xin Zhao,LeBlanc,Ryze
lckJG,Afreeca Freecs,Dread,Gnar,Lucian,Xin Zhao,LeBlanc,Azir
lckJG,Afreeca Freecs,Dread,Gnar,Lucian,Akali,Thresh,Braum
lckJG,Afreeca Freecs,Dread,Gnar,Lucian,Xin Zhao,Braum,Lee Sin
lckJG,Afreeca Freecs,Dread,Gnar,Lucian,Varus,Thresh,Ornn
lckJG,Afreeca Freecs,Dread,Viego,Irelia,Jayce,Varus,Kalista
lckJG,Afreeca Freecs,Dread,Lucian,Jayce,Irelia,Olaf,Lee Sin
lckJG,Afreeca Freecs,Dread,Viego,Irelia,Diana,Varus,Neeko
lckJG,Afreeca Freecs,Dread,Aphelios,Kalista,Irelia,Gnar,Ornn
lckJG,Afreeca Freecs,Dread,Kalista,Aphelios,Irelia,Ornn,Gwen
lckJG,Afreeca Freecs,Dread,Aphelios,Kalista,Renekton,Braum,Gwen
lckJG,Afreeca Freecs,Dread,Viego,Lucian,Renekton,Ziggs,Rell
lckJG,Afreeca Freecs,Dread,Lucian,Irelia,Jayce,Lee Sin,Diana
lckJG,Afreeca Freecs,Dread,Lucian,Jayce,Viego,Gwen,Gnar
lckJG,Afreeca Freecs,Dread,Viego,Lee Sin,Aphelios,Ashe,Irelia
lckJG,Afreeca Freecs,Dread,Viego,Renekton,Lee Sin,Leona,Jayce
lckJG,Afreeca Freecs,Dread,Irelia,Lee Sin,Thresh,Gwen,Gnar
lckJG,Afreeca Freecs,Dread,Diana,Lucian,Jayce,Irelia,Camille
