leaguePosition,team,player,ban1,ban2,ban3,ban4,ban5
lckSUP,DRX,Jun,Lucian,LeBlanc,Gwen,Volibear,Rumble
lckSUP,DRX,Jun,Lucian,Xin Zhao,LeBlanc,Braum,Gnar
lckSUP,DRX,Jun,Lucian,LeBlanc,Gwen,Alistar,Leona
lckSUP,DRX,Jun,Lucian,Xin Zhao,Renekton,Lissandra,Alistar
lckSUP,DRX,Jun,Xin Zhao,Renekton,Lucian,Tahm Kench,Nautilus
lckSUP,DRX,Jun,LeBlanc,Ziggs,Lucian,Sett,Viego
lckSUP,DRX,Jun,Lucian,LeBlanc,Kalista,Ryze,Jayce
lckSUP,DRX,Jun,Lucian,Viego,Varus,Irelia,LeBlanc
lckSUP,DRX,Jun,Trundle,Lucian,Kalista,Nautilus,Kennen
lckSUP,DRX,Jun,Trundle,Lucian,Kalista,Irelia,Tristana
lckSUP,DRX,Jun,Lucian,Trundle,Viego,Ashe,Varus
lckSUP,DRX,Jun,Lucian,Sett,Viego,Nautilus,Leona
lckSUP,DRX,Jun,Lucian,Ziggs,Varus,Syndra,Gnar
lckSUP,DRX,Jun,Lucian,Ziggs,Rumble,Sett,Braum
lckSUP,DRX,Jun,Lucian,Ziggs,Varus,Nautilus,Ezreal
lckSUP,DRX,Jun,Lucian,Ziggs,Jayce,Varus,Jinx
lckSUP,DRX,Jun,Lucian,Ziggs,Diana,Gnar,Braum
lckSUP,DRX,Jun,Lucian,Ziggs,Diana,Varus,Braum
lckTOP,DRX,Kingen,Kalista,Olaf,Lucian,Bard,Twisted Fate
lckTOP,DRX,Kingen,Kalista,Karma,Renekton,Bard,Lee Sin
lckTOP,DRX,Kingen,Kalista,Olaf,Karma,Twisted Fate,Nocturne
lckMID,DRX,Kingen,Akali,Gwen,Lucian,Jayce,Gnar
lckTOP,DRX,Kingen,Renekton,Karma,Tahm Kench,Kennen,Ryze
lckTOP,DRX,Kingen,Karma,Renekton,Lucian,Bard,Rakan
lckTOP,DRX,Kingen,Karma,Viego,Lucian,Sett,Gwen
lckTOP,DRX,Kingen,Lucian,Karma,Renekton,Yuumi,Bard
lckTOP,DRX,Kingen,Karma,Kalista,Gangplank,Rakan,Bard
lckTOP,DRX,Kingen,Karma,Lucian,Renekton,Nautilus,Gnar
lckTOP,DRX,Kingen,Lee Sin,Lucian,Renekton,Leona,Karma
lckTOP,DRX,Kingen,Lee Sin,Ezreal,Lucian,Gwen,Tahm Kench
lckTOP,DRX,Kingen,Lee Sin,Karma,Lucian,Senna,Kalista
lckTOP,DRX,Kingen,Lee Sin,Karma,Lucian,Kalista,Senna
lckTOP,DRX,Kingen,Lucian,Lee Sin,Renekton,Senna,Varus
lckTOP,DRX,Kingen,Lee Sin,Lucian,Renekton,Gragas,Rakan
lckTOP,DRX,Kingen,Lucian,Renekton,Akali,Alistar,Braum
lckTOP,DRX,Kingen,Lucian,Renekton,Ezreal,Gwen,Gnar
lckTOP,DRX,Kingen,Lucian,Ezreal,Renekton,Gwen,Akali
lckTOP,DRX,Kingen,Gnar,Lucian,LeBlanc,Leona,Braum
lckTOP,DRX,Kingen,Gnar,Lucian,LeBlanc,Renekton,Sett
lckTOP,DRX,Kingen,Gnar,Lucian,Gwen,LeBlanc,Akali
lckTOP,DRX,Kingen,Kalista,Ezreal,Volibear,LeBlanc,Lucian
lckTOP,DRX,Kingen,Kalista,Ezreal,Thresh,Volibear,Kai'Sa
lckTOP,DRX,Kingen,Lucian,LeBlanc,Gwen,Varus,Ziggs
lckTOP,DRX,Kingen,Lucian,LeBlanc,Gwen,Volibear,Rumble
lckTOP,DRX,Kingen,Lucian,Xin Zhao,LeBlanc,Braum,Gnar
lckTOP,DRX,Kingen,Lucian,LeBlanc,Gwen,Alistar,Leona
lckTOP,DRX,Kingen,Lucian,Xin Zhao,Renekton,Lissandra,Alistar
lckTOP,DRX,Kingen,Xin Zhao,Renekton,Lucian,Tahm Kench,Nautilus
lckTOP,DRX,Kingen,LeBlanc,Ziggs,Lucian,Sett,Viego
lckTOP,DRX,Kingen,Lucian,LeBlanc,Kalista,Ryze,Jayce
lckTOP,DRX,Kingen,Lucian,Viego,Varus,Irelia,LeBlanc
lckTOP,DRX,Kingen,Trundle,Lucian,Kalista,Nautilus,Kennen
lckTOP,DRX,Kingen,Trundle,Lucian,Kalista,Irelia,Tristana
lckTOP,DRX,Kingen,Lucian,Trundle,Viego,Ashe,Varus
lckTOP,DRX,Kingen,Lucian,Sett,Viego,Nautilus,Leona
lckTOP,DRX,Kingen,Lucian,Ziggs,Varus,Syndra,Gnar
lckTOP,DRX,Kingen,Lucian,Ziggs,Rumble,Sett,Braum
lckTOP,DRX,Kingen,Lucian,Ziggs,Varus,Nautilus,Ezreal
lckTOP,DRX,Kingen,Lucian,Ziggs,Jayce,Varus,Jinx
lckTOP,DRX,Kingen,Lucian,Ziggs,Diana,Gnar,Braum
lckTOP,DRX,Kingen,Lucian,Ziggs,Diana,Varus,Braum
lckJG,DRX,Pyosik,Kalista,Olaf,Lucian,Bard,Twisted Fate
lckJG,DRX,Pyosik,Kalista,Karma,Renekton,Bard,Lee Sin
lckJG,DRX,Pyosik,Kalista,Olaf,Karma,Twisted Fate,Nocturne
lckJG,DRX,Pyosik,Akali,Gwen,Lucian,Jayce,Gnar
lckJG,DRX,Pyosik,Renekton,Karma,Tahm Kench,Kennen,Ryze
lckJG,DRX,Pyosik,Karma,Renekton,Lucian,Bard,Rakan
lckJG,DRX,Pyosik,Karma,Viego,Lucian,Sett,Gwen
lckJG,DRX,Pyosik,Lucian,Karma,Renekton,Yuumi,Bard
lckJG,DRX,Pyosik,Karma,Kalista,Gangplank,Rakan,Bard
lckJG,DRX,Pyosik,Karma,Lucian,Renekton,Nautilus,Gnar
lckJG,DRX,Pyosik,Lee Sin,Lucian,Renekton,Leona,Karma
lckJG,DRX,Pyosik,Lee Sin,Ezreal,Lucian,Gwen,Tahm Kench
lckJG,DRX,Pyosik,Lee Sin,Karma,Lucian,Senna,Kalista
lckJG,DRX,Pyosik,Lee Sin,Karma,Lucian,Kalista,Senna
lckJG,DRX,Pyosik,Lucian,Lee Sin,Renekton,Senna,Varus
lckJG,DRX,Pyosik,Lee Sin,Lucian,Renekton,Gragas,Rakan
lckJG,DRX,Pyosik,Lucian,Renekton,Akali,Alistar,Braum
lckJG,DRX,Pyosik,Lucian,Renekton,Ezreal,Gwen,Gnar
lckJG,DRX,Pyosik,Lucian,Ezreal,Renekton,Gwen,Akali
lckJG,DRX,Pyosik,Gnar,Lucian,LeBlanc,Leona,Braum
lckJG,DRX,Pyosik,Gnar,Lucian,LeBlanc,Renekton,Sett
lckJG,DRX,Pyosik,Gnar,Lucian,Gwen,LeBlanc,Akali
lckJG,DRX,Pyosik,Kalista,Ezreal,Volibear,LeBlanc,Lucian
lckJG,DRX,Pyosik,Kalista,Ezreal,Thresh,Volibear,Kai'Sa
lckJG,DRX,Pyosik,Lucian,LeBlanc,Gwen,Varus,Ziggs
lckJG,DRX,Pyosik,Lucian,LeBlanc,Gwen,Volibear,Rumble
lckJG,DRX,Pyosik,Lucian,Xin Zhao,LeBlanc,Braum,Gnar
lckJG,DRX,Pyosik,Lucian,LeBlanc,Gwen,Alistar,Leona
lckJG,DRX,Pyosik,Lucian,Xin Zhao,Renekton,Lissandra,Alistar
lckJG,DRX,Pyosik,Xin Zhao,Renekton,Lucian,Tahm Kench,Nautilus
lckJG,DRX,Pyosik,LeBlanc,Ziggs,Lucian,Sett,Viego
lckJG,DRX,Pyosik,Lucian,LeBlanc,Kalista,Ryze,Jayce
lckJG,DRX,Pyosik,Lucian,Viego,Varus,Irelia,LeBlanc
lckJG,DRX,Pyosik,Trundle,Lucian,Kalista,Nautilus,Kennen
lckJG,DRX,Pyosik,Trundle,Lucian,Kalista,Irelia,Tristana
lckJG,DRX,Pyosik,Lucian,Trundle,Viego,Ashe,Varus
lckJG,DRX,Pyosik,Lucian,Sett,Viego,Nautilus,Leona
lckJG,DRX,Pyosik,Lucian,Ziggs,Varus,Syndra,Gnar
lckJG,DRX,Pyosik,Lucian,Ziggs,Rumble,Sett,Braum
lckJG,DRX,Pyosik,Lucian,Ziggs,Varus,Nautilus,Ezreal
lckJG,DRX,Pyosik,Lucian,Ziggs,Jayce,Varus,Jinx
lckJG,DRX,Pyosik,Lucian,Ziggs,Diana,Gnar,Braum
lckJG,DRX,Pyosik,Lucian,Ziggs,Diana,Varus,Braum
lckMID,DRX,SOLKA,Kalista,Olaf,Lucian,Bard,Twisted Fate
lckMID,DRX,SOLKA,Kalista,Karma,Renekton,Bard,Lee Sin
lckMID,DRX,SOLKA,Kalista,Olaf,Karma,Twisted Fate,Nocturne
lckMID,DRX,SOLKA,Renekton,Karma,Tahm Kench,Kennen,Ryze
lckMID,DRX,SOLKA,Karma,Renekton,Lucian,Bard,Rakan
lckMID,DRX,SOLKA,Karma,Viego,Lucian,Sett,Gwen
lckMID,DRX,SOLKA,Lucian,Karma,Renekton,Yuumi,Bard
lckMID,DRX,SOLKA,Karma,Kalista,Gangplank,Rakan,Bard
lckMID,DRX,SOLKA,Karma,Lucian,Renekton,Nautilus,Gnar
lckMID,DRX,SOLKA,Lee Sin,Lucian,Renekton,Leona,Karma
lckMID,DRX,SOLKA,Lee Sin,Ezreal,Lucian,Gwen,Tahm Kench
lckMID,DRX,SOLKA,Lee Sin,Karma,Lucian,Senna,Kalista
lckMID,DRX,SOLKA,Lee Sin,Karma,Lucian,Kalista,Senna
lckMID,DRX,SOLKA,Lucian,Lee Sin,Renekton,Senna,Varus
lckMID,DRX,SOLKA,Lee Sin,Lucian,Renekton,Gragas,Rakan
lckMID,DRX,SOLKA,Lucian,Renekton,Akali,Alistar,Braum
lckMID,DRX,SOLKA,Lucian,Renekton,Ezreal,Gwen,Gnar
lckMID,DRX,SOLKA,Lucian,Ezreal,Renekton,Gwen,Akali
lckMID,DRX,SOLKA,Gnar,Lucian,LeBlanc,Leona,Braum
lckMID,DRX,SOLKA,Gnar,Lucian,LeBlanc,Renekton,Sett
lckMID,DRX,SOLKA,Gnar,Lucian,Gwen,LeBlanc,Akali
lckADC,DRX,Taeyoon,Gnar,Lucian,LeBlanc,Leona,Braum
lckADC,DRX,Taeyoon,Gnar,Lucian,LeBlanc,Renekton,Sett
lckADC,DRX,Taeyoon,Gnar,Lucian,Gwen,LeBlanc,Akali
lckADC,DRX,Taeyoon,Kalista,Ezreal,Volibear,LeBlanc,Lucian
lckADC,DRX,Taeyoon,Kalista,Ezreal,Thresh,Volibear,Kai'Sa
lckADC,DRX,Taeyoon,Lucian,LeBlanc,Gwen,Varus,Ziggs
lckADC,DRX,Taeyoon,Lucian,LeBlanc,Gwen,Volibear,Rumble
lckADC,DRX,Taeyoon,Lucian,Xin Zhao,LeBlanc,Braum,Gnar
lckADC,DRX,Taeyoon,Lucian,LeBlanc,Gwen,Alistar,Leona
lckADC,DRX,Taeyoon,Lucian,Xin Zhao,Renekton,Lissandra,Alistar
lckADC,DRX,Taeyoon,Xin Zhao,Renekton,Lucian,Tahm Kench,Nautilus
lckADC,DRX,Taeyoon,LeBlanc,Ziggs,Lucian,Sett,Viego
lckADC,DRX,Taeyoon,Lucian,LeBlanc,Kalista,Ryze,Jayce
lckADC,DRX,Taeyoon,Lucian,Viego,Varus,Irelia,LeBlanc
lckADC,DRX,Taeyoon,Trundle,Lucian,Kalista,Nautilus,Kennen
lckADC,DRX,Taeyoon,Trundle,Lucian,Kalista,Irelia,Tristana
lckADC,DRX,Taeyoon,Lucian,Trundle,Viego,Ashe,Varus
lckADC,DRX,Taeyoon,Lucian,Sett,Viego,Nautilus,Leona
lckADC,DRX,Taeyoon,Lucian,Ziggs,Varus,Syndra,Gnar
lckADC,DRX,Taeyoon,Lucian,Ziggs,Rumble,Sett,Braum
lckADC,DRX,Taeyoon,Lucian,Ziggs,Varus,Nautilus,Ezreal
lckADC,DRX,Taeyoon,Lucian,Ziggs,Jayce,Varus,Jinx
lckADC,DRX,Taeyoon,Lucian,Ziggs,Diana,Gnar,Braum
lckADC,DRX,Taeyoon,Lucian,Ziggs,Diana,Varus,Braum
lckSUP,DWG KIA,BeryL,Gwen,Ezreal,Lee Sin,Azir,Leona
lckSUP,DWG KIA,BeryL,Ezreal,Thresh,Lucian,Sett,Nautilus
lckSUP,DWG KIA,BeryL,Gwen,Ezreal,Lee Sin,Twisted Fate,Gragas
lckSUP,DWG KIA,BeryL,Ezreal,Lucian,Thresh,Gwen,Jayce
lckSUP,DWG KIA,BeryL,Ezreal,Gwen,Lee Sin,Irelia,Twisted Fate
lckSUP,DWG KIA,BeryL,Senna,Akali,Karma,Orianna,Twisted Fate
lckSUP,DWG KIA,BeryL,Lucian,Renekton,Tahm Kench,Orianna,Twisted Fate
lckSUP,DWG KIA,BeryL,Lulu,Lucian,Renekton,Twisted Fate,Nocturne
lckSUP,DWG KIA,BeryL,Akali,Lulu,Tahm Kench,Leona,Rakan
lckSUP,DWG KIA,BeryL,Lucian,Renekton,Nocturne,Sylas,Lulu
lckSUP,DWG KIA,BeryL,Lucian,Renekton,Nocturne,Leona,Lulu
lckSUP,DWG KIA,BeryL,Xin Zhao,Lucian,Renekton,Nocturne,Twisted Fate
lckSUP,DWG KIA,BeryL,Gwen,Lucian,Akali,Nautilus,Nocturne
lckSUP,DWG KIA,BeryL,Gwen,Lucian,Akali,Thresh,Kalista
lckSUP,DWG KIA,BeryL,Lucian,Akali,Lee Sin,Kalista,Thresh
lckSUP,DWG KIA,BeryL,Nocturne,Sett,Karma,Thresh,Tahm Kench
lckSUP,DWG KIA,BeryL,Nocturne,Sett,Karma,Orianna,Volibear
lckSUP,DWG KIA,BeryL,Nocturne,Sett,Ezreal,Rumble,Xin Zhao
lckSUP,DWG KIA,BeryL,Ezreal,Lee Sin,Kalista,Rakan,Azir
lckSUP,DWG KIA,BeryL,Ezreal,Kalista,Lee Sin,Thresh,Kai'Sa
lckSUP,DWG KIA,BeryL,Thresh,Ezreal,Xin Zhao,LeBlanc,Azir
lckSUP,DWG KIA,BeryL,Thresh,Ezreal,Xin Zhao,LeBlanc,Ryze
lckSUP,DWG KIA,BeryL,Nocturne,Akali,Xin Zhao,Sylas,Twisted Fate
lckSUP,DWG KIA,BeryL,Nocturne,Xin Zhao,Ziggs,Karma,Braum
lckSUP,DWG KIA,BeryL,Thresh,Nocturne,Ashe,Nautilus,Tahm Kench
lckSUP,DWG KIA,BeryL,Thresh,Nocturne,Ryze,Olaf,Gwen
lckSUP,DWG KIA,BeryL,Thresh,Nocturne,Ziggs,Diana,Olaf
lckSUP,DWG KIA,BeryL,Nocturne,Xin Zhao,Thresh,Ezreal,Kog'Maw
lckSUP,DWG KIA,BeryL,Nocturne,Xin Zhao,Thresh,Kog'Maw,Ezreal
lckSUP,DWG KIA,BeryL,Nocturne,Xin Zhao,Ryze,Wukong,Irelia
lckSUP,DWG KIA,BeryL,Irelia,Ryze,Aphelios,Lee Sin,Wukong
lckSUP,DWG KIA,BeryL,Xin Zhao,Aphelios,Ryze,Braum,Gwen
lckSUP,DWG KIA,BeryL,Irelia,Aphelios,Orianna,Wukong,LeBlanc
lckSUP,DWG KIA,BeryL,Aphelios,Xin Zhao,Renekton,Leona,Ezreal
lckSUP,DWG KIA,BeryL,Aphelios,Irelia,Trundle,Draven,Varus
lckSUP,DWG KIA,BeryL,Irelia,Aphelios,Ziggs,Braum,Lissandra
lckSUP,DWG KIA,BeryL,Viego,Ziggs,Diana,Lissandra,Jayce
lckSUP,DWG KIA,BeryL,Lucian,Renekton,Varus,Leona,Ornn
lckSUP,DWG KIA,BeryL,Lucian,Renekton,Viego,Leona,Thresh
lckSUP,DWG KIA,BeryL,Kalista,Irelia,Lissandra,Volibear,Xin Zhao
lckSUP,DWG KIA,BeryL,Kalista,Irelia,Lissandra,Leona,Dr. Mundo
lckSUP,DWG KIA,BeryL,Gnar,Renekton,Irelia,Varus,Thresh
lckSUP,DWG KIA,BeryL,Gnar,Renekton,Olaf,Thresh,Ezreal
lckJG,DWG KIA,Canyon,Gwen,Ezreal,Lee Sin,Azir,Leona
lckJG,DWG KIA,Canyon,Ezreal,Thresh,Lucian,Sett,Nautilus
lckJG,DWG KIA,Canyon,Gwen,Ezreal,Lee Sin,Twisted Fate,Gragas
lckJG,DWG KIA,Canyon,Ezreal,Lucian,Thresh,Gwen,Jayce
lckJG,DWG KIA,Canyon,Ezreal,Gwen,Lee Sin,Irelia,Twisted Fate
lckMID,DWG KIA,Canyon,Senna,Akali,Karma,Orianna,Twisted Fate
lckMID,DWG KIA,Canyon,Lucian,Renekton,Tahm Kench,Orianna,Twisted Fate
lckMID,DWG KIA,Canyon,Lulu,Lucian,Renekton,Twisted Fate,Nocturne
lckMID,DWG KIA,Canyon,Akali,Lulu,Tahm Kench,Leona,Rakan
lckMID,DWG KIA,Canyon,Lucian,Renekton,Nocturne,Sylas,Lulu
lckMID,DWG KIA,Canyon,Lucian,Renekton,Nocturne,Leona,Lulu
lckMID,DWG KIA,Canyon,Xin Zhao,Lucian,Renekton,Nocturne,Twisted Fate
lckMID,DWG KIA,Canyon,Gwen,Lucian,Akali,Nautilus,Nocturne
lckMID,DWG KIA,Canyon,Gwen,Lucian,Akali,Thresh,Kalista
lckMID,DWG KIA,Canyon,Lucian,Akali,Lee Sin,Kalista,Thresh
lckJG,DWG KIA,Canyon,Nocturne,Sett,Karma,Thresh,Tahm Kench
lckJG,DWG KIA,Canyon,Nocturne,Sett,Karma,Orianna,Volibear
lckJG,DWG KIA,Canyon,Nocturne,Sett,Ezreal,Rumble,Xin Zhao
lckJG,DWG KIA,Canyon,Ezreal,Lee Sin,Kalista,Rakan,Azir
lckJG,DWG KIA,Canyon,Ezreal,Kalista,Lee Sin,Thresh,Kai'Sa
lckJG,DWG KIA,Canyon,Thresh,Ezreal,Xin Zhao,LeBlanc,Azir
lckJG,DWG KIA,Canyon,Thresh,Ezreal,Xin Zhao,LeBlanc,Ryze
lckJG,DWG KIA,Canyon,Nocturne,Akali,Xin Zhao,Sylas,Twisted Fate
lckJG,DWG KIA,Canyon,Nocturne,Xin Zhao,Ziggs,Karma,Braum
lckJG,DWG KIA,Canyon,Thresh,Nocturne,Ashe,Nautilus,Tahm Kench
lckJG,DWG KIA,Canyon,Thresh,Nocturne,Ryze,Olaf,Gwen
lckJG,DWG KIA,Canyon,Thresh,Nocturne,Ziggs,Diana,Olaf
lckJG,DWG KIA,Canyon,Nocturne,Xin Zhao,Thresh,Ezreal,Kog'Maw
lckJG,DWG KIA,Canyon,Nocturne,Xin Zhao,Thresh,Kog'Maw,Ezreal
lckJG,DWG KIA,Canyon,Nocturne,Xin Zhao,Ryze,Wukong,Irelia
lckJG,DWG KIA,Canyon,Irelia,Ryze,Aphelios,Lee Sin,Wukong
lckJG,DWG KIA,Canyon,Xin Zhao,Aphelios,Ryze,Braum,Gwen
lckJG,DWG KIA,Canyon,Irelia,Aphelios,Orianna,Wukong,LeBlanc
lckJG,DWG KIA,Canyon,Aphelios,Xin Zhao,Renekton,Leona,Ezreal
lckJG,DWG KIA,Canyon,Aphelios,Irelia,Trundle,Draven,Varus
lckJG,DWG KIA,Canyon,Irelia,Aphelios,Ziggs,Braum,Lissandra
lckJG,DWG KIA,Canyon,Viego,Ziggs,Diana,Lissandra,Jayce
lckJG,DWG KIA,Canyon,Lucian,Renekton,Varus,Leona,Ornn
lckJG,DWG KIA,Canyon,Lucian,Renekton,Viego,Leona,Thresh
lckJG,DWG KIA,Canyon,Kalista,Irelia,Lissandra,Volibear,Xin Zhao
lckJG,DWG KIA,Canyon,Kalista,Irelia,Lissandra,Leona,Dr. Mundo
lckJG,DWG KIA,Canyon,Gnar,Renekton,Irelia,Varus,Thresh
lckJG,DWG KIA,Canyon,Gnar,Renekton,Olaf,Thresh,Ezreal
lckADC,DWG KIA,Ghost,Gwen,Ezreal,Lee Sin,Azir,Leona
lckADC,DWG KIA,Ghost,Ezreal,Thresh,Lucian,Sett,Nautilus
lckADC,DWG KIA,Ghost,Gwen,Ezreal,Lee Sin,Twisted Fate,Gragas
lckADC,DWG KIA,Ghost,Ezreal,Lucian,Thresh,Gwen,Jayce
lckADC,DWG KIA,Ghost,Ezreal,Gwen,Lee Sin,Irelia,Twisted Fate
lckADC,DWG KIA,Ghost,Nocturne,Sett,Karma,Thresh,Tahm Kench
lckADC,DWG KIA,Ghost,Nocturne,Sett,Karma,Orianna,Volibear
lckADC,DWG KIA,Ghost,Nocturne,Sett,Ezreal,Rumble,Xin Zhao
lckADC,DWG KIA,Ghost,Ezreal,Lee Sin,Kalista,Rakan,Azir
lckADC,DWG KIA,Ghost,Ezreal,Kalista,Lee Sin,Thresh,Kai'Sa
lckADC,DWG KIA,Ghost,Thresh,Ezreal,Xin Zhao,LeBlanc,Azir
lckADC,DWG KIA,Ghost,Thresh,Ezreal,Xin Zhao,LeBlanc,Ryze
lckADC,DWG KIA,Ghost,Nocturne,Akali,Xin Zhao,Sylas,Twisted Fate
lckADC,DWG KIA,Ghost,Nocturne,Xin Zhao,Ziggs,Karma,Braum
lckADC,DWG KIA,Ghost,Thresh,Nocturne,Ashe,Nautilus,Tahm Kench
lckADC,DWG KIA,Ghost,Thresh,Nocturne,Ryze,Olaf,Gwen
lckADC,DWG KIA,Ghost,Thresh,Nocturne,Ziggs,Diana,Olaf
lckADC,DWG KIA,Ghost,Nocturne,Xin Zhao,Thresh,Ezreal,Kog'Maw
lckADC,DWG KIA,Ghost,Nocturne,Xin Zhao,Thresh,Kog'Maw,Ezreal
lckADC,DWG KIA,Ghost,Nocturne,Xin Zhao,Ryze,Wukong,Irelia
lckADC,DWG KIA,Ghost,Irelia,Ryze,Aphelios,Lee Sin,Wukong
lckADC,DWG KIA,Ghost,Xin Zhao,Aphelios,Ryze,Braum,Gwen
lckADC,DWG KIA,Ghost,Irelia,Aphelios,Orianna,Wukong,LeBlanc
lckADC,DWG KIA,Ghost,Aphelios,Xin Zhao,Renekton,Leona,Ezreal
lckADC,DWG KIA,Ghost,Aphelios,Irelia,Trundle,Draven,Varus
lckADC,DWG KIA,Ghost,Irelia,Aphelios,Ziggs,Braum,Lissandra
lckADC,DWG KIA,Ghost,Viego,Ziggs,Diana,Lissandra,Jayce
lckADC,DWG KIA,Ghost,Lucian,Renekton,Varus,Leona,Ornn
lckADC,DWG KIA,Ghost,Lucian,Renekton,Viego,Leona,Thresh
lckADC,DWG KIA,Ghost,Kalista,Irelia,Lissandra,Volibear,Xin Zhao
lckADC,DWG KIA,Ghost,Kalista,Irelia,Lissandra,Leona,Dr. Mundo
lckADC,DWG KIA,Ghost,Gnar,Renekton,Irelia,Varus,Thresh
lckADC,DWG KIA,Ghost,Gnar,Renekton,Olaf,Thresh,Ezreal
lckTOP,DWG KIA,Khan,Nocturne,Xin Zhao,Ziggs,Karma,Braum
lckTOP,DWG KIA,Khan,Gwen,Ezreal,Lee Sin,Twisted Fate,Gragas
lckTOP,DWG KIA,Khan,Gnar,Renekton,Irelia,Varus,Thresh
lckTOP,DWG KIA,Khan,Ezreal,Gwen,Lee Sin,Irelia,Twisted Fate
lckTOP,DWG KIA,Khan,Xin Zhao,Lucian,Renekton,Nocturne,Twisted Fate
lckTOP,DWG KIA,Khan,Nocturne,Akali,Xin Zhao,Sylas,Twisted Fate
lckTOP,DWG KIA,Khan,Lucian,Renekton,Varus,Leona,Ornn
lckTOP,DWG KIA,Khan,Lucian,Renekton,Nocturne,Sylas,Lulu
lckTOP,DWG KIA,Khan,Thresh,Ezreal,Xin Zhao,LeBlanc,Ryze
lckTOP,DWG KIA,Khan,Aphelios,Xin Zhao,Renekton,Leona,Ezreal
lckTOP,DWG KIA,Khan,Lucian,Renekton,Viego,Leona,Thresh
lckTOP,DWG KIA,Khan,Kalista,Irelia,Lissandra,Leona,Dr. Mundo
lckTOP,DWG KIA,Khan,Thresh,Ezreal,Xin Zhao,LeBlanc,Azir
lckTOP,DWG KIA,Khan,Nocturne,Xin Zhao,Thresh,Ezreal,Kog'Maw
lckTOP,DWG KIA,Khan,Gwen,Ezreal,Lee Sin,Azir,Leona
lckTOP,DWG KIA,Khan,Thresh,Nocturne,Ryze,Olaf,Gwen
lckTOP,DWG KIA,Khan,Nocturne,Xin Zhao,Ryze,Wukong,Irelia
lckTOP,DWG KIA,Khan,Irelia,Ryze,Aphelios,Lee Sin,Wukong
lckTOP,DWG KIA,Khan,Irelia,Aphelios,Orianna,Wukong,LeBlanc
lckTOP,DWG KIA,Khan,Kalista,Irelia,Lissandra,Volibear,Xin Zhao
lckTOP,DWG KIA,Khan,Akali,Lulu,Tahm Kench,Leona,Rakan
lckTOP,DWG KIA,Khan,Gwen,Lucian,Akali,Thresh,Kalista
lckTOP,DWG KIA,Khan,Gnar,Renekton,Olaf,Thresh,Ezreal
lckTOP,DWG KIA,Khan,Ezreal,Lucian,Thresh,Gwen,Jayce
lckTOP,DWG KIA,Khan,Ezreal,Kalista,Lee Sin,Thresh,Kai'Sa
lckTOP,DWG KIA,Khan,Nocturne,Xin Zhao,Thresh,Kog'Maw,Ezreal
lckTOP,DWG KIA,Khan,Xin Zhao,Aphelios,Ryze,Braum,Gwen
lckTOP,DWG KIA,Khan,Viego,Ziggs,Diana,Lissandra,Jayce
lckTOP,DWG KIA,Khan,Lucian,Akali,Lee Sin,Kalista,Thresh
lckTOP,DWG KIA,Khan,Thresh,Nocturne,Ashe,Nautilus,Tahm Kench
lckTOP,DWG KIA,Khan,Irelia,Aphelios,Ziggs,Braum,Lissandra
lckTOP,DWG KIA,Khan,Ezreal,Thresh,Lucian,Sett,Nautilus
lckTOP,DWG KIA,Khan,Senna,Akali,Karma,Orianna,Twisted Fate
lckTOP,DWG KIA,Khan,Lucian,Renekton,Tahm Kench,Orianna,Twisted Fate
lckTOP,DWG KIA,Khan,Gwen,Lucian,Akali,Nautilus,Nocturne
lckTOP,DWG KIA,Khan,Aphelios,Irelia,Trundle,Draven,Varus
lckTOP,DWG KIA,Khan,Lucian,Renekton,Nocturne,Leona,Lulu
lckTOP,DWG KIA,Khan,Thresh,Nocturne,Ziggs,Diana,Olaf
lckTOP,DWG KIA,Khan,Lulu,Lucian,Renekton,Twisted Fate,Nocturne
lckTOP,DWG KIA,Khan,Nocturne,Sett,Karma,Thresh,Tahm Kench
lckTOP,DWG KIA,Khan,Nocturne,Sett,Karma,Orianna,Volibear
lckTOP,DWG KIA,Khan,Nocturne,Sett,Ezreal,Rumble,Xin Zhao
lckTOP,DWG KIA,Khan,Ezreal,Lee Sin,Kalista,Rakan,Azir
lckJG,DWG KIA,Malrang,Senna,Akali,Karma,Orianna,Twisted Fate
lckJG,DWG KIA,Malrang,Lucian,Renekton,Tahm Kench,Orianna,Twisted Fate
lckJG,DWG KIA,Malrang,Lulu,Lucian,Renekton,Twisted Fate,Nocturne
lckJG,DWG KIA,Malrang,Akali,Lulu,Tahm Kench,Leona,Rakan
lckJG,DWG KIA,Malrang,Lucian,Renekton,Nocturne,Sylas,Lulu
lckJG,DWG KIA,Malrang,Lucian,Renekton,Nocturne,Leona,Lulu
lckJG,DWG KIA,Malrang,Xin Zhao,Lucian,Renekton,Nocturne,Twisted Fate
lckJG,DWG KIA,Malrang,Gwen,Lucian,Akali,Nautilus,Nocturne
lckJG,DWG KIA,Malrang,Gwen,Lucian,Akali,Thresh,Kalista
lckJG,DWG KIA,Malrang,Lucian,Akali,Lee Sin,Kalista,Thresh
lckMID,DWG KIA,ShowMaker,Gwen,Ezreal,Lee Sin,Azir,Leona
lckMID,DWG KIA,ShowMaker,Ezreal,Thresh,Lucian,Sett,Nautilus
lckMID,DWG KIA,ShowMaker,Gwen,Ezreal,Lee Sin,Twisted Fate,Gragas
